loan_amt_requested,mort_due,current_property_value,years_on_job,no_of_derog,no_of_delinq,age_of_oldest_cl,no_of_recent_credit_inquiries,no_of_cl,debt_to_income_ratio,cl_delinquency_ratio,approx_income,combined_ltv_ratio,loan_reason_homeImp,job_mgr,job_office,job_profExe,job_sales,job_self,income_group_high,income_group_lowMed,job_other_nonProvided,loan_reason_debtCon_np
10700,54091.0,67661.0,27.0,0,2,188.5339891,0,24,38.58937235,0.083333333,140170.7173,0.957582654705074,1,0,0,0,0,0,0,1,1,0
20500,106839.0,144460.0,13.0,1,1,107.6713817,4,49,39.68708944,0.020408163,269203.4148,0.8814827633947113,0,0,0,0,0,0,1,0,1,1
17800,38770.0,64357.0,17.0,0,0,282.9357846,0,21,27.97949547,0.0,138565.7581,0.87900306105008,0,0,0,0,0,0,0,1,1,1
19800,51454.0,68073.0,1.0,0,0,130.9747908,0,17,32.30494412,0.0,159275.9294,1.0467292465441511,1,0,1,0,0,0,1,0,0,0
25000,69300.0,111800.0,5.0,0,0,95.36666667,2,32,35.24522428,0.0,196622.3833,0.8434704830053668,0,0,0,0,0,0,1,0,1,1
13800,31974.0,44417.0,7.0,0,0,76.93312296,1,12,30.42242943,0.0,105100.0877,1.0305513654681766,1,0,0,0,0,0,0,1,1,0
18700,70562.0,91223.0,27.0,0,2,112.7103681,4,35,64.2724769,0.057142857,109785.7176,0.9785032283524988,0,0,0,0,0,0,0,1,1,1
23200,144542.0,176611.0,5.0,0,0,179.239077,5,42,40.82316043,0.0,354068.6181,0.9497822898913432,0,0,0,1,0,0,1,0,0,1
10200,16322.0,86505.0,8.0,0,0,259.1638196,0,14,21.25349814,0.0,76796.76961,0.3065949945089879,0,0,0,0,0,0,0,1,1,1
12000,7804.0,65395.0,8.0,2,0,347.1233258,0,21,16.81630749,0.0,46407.33411,0.3028366083033871,1,0,0,0,0,0,0,1,1,0
27700,25947.0,49836.0,24.0,0,0,120.0258521,0,10,23.81017336,0.0,108974.427,1.0764708243037162,0,0,0,0,0,0,0,1,1,1
33500,73761.0,117729.0,11.0,0,0,62.12090961,0,35,25.46161407,0.0,289694.9101,0.9110839300427253,0,1,0,0,0,0,1,0,0,1
25800,137140.0,167096.0,7.0,0,1,209.085283,1,19,36.18947433,0.052631579,378949.9642,0.9751280700914444,0,0,0,0,0,0,1,0,1,1
24600,221331.0,289991.0,5.0,0,4,474.0270741,0,55,31.46338455,0.072727273,703455.7889,0.848064250269836,1,0,0,1,0,0,1,0,0,0
11200,33215.27412,48150.0,3.0,0,0,165.7680172,0,9,22.30223437,0.0,148932.4952,0.9224355995846314,1,1,0,0,0,0,0,1,0,0
19900,68830.0,107598.0,10.0,0,0,202.9341954,2,13,30.95751627,0.0,222336.9582,0.8246435807357014,0,0,1,0,0,0,1,0,0,1
13400,102700.0,121216.0,3.0,0,0,124.5640179,1,25,34.95327869,0.0,293820.7912,0.9577943505807814,0,0,0,0,0,0,1,0,1,1
30300,36352.51401,52545.0,1.0,1,3,187.7221845,10,15,2.594364447,0.2,1401210.769,1.2684844230659436,0,0,0,0,0,0,1,0,1,1
8300,178745.0,251935.0,4.0,0,0,130.7309108,0,22,42.35805988,0.0,421985.8051,0.7424335642129914,0,0,0,0,1,0,1,0,0,1
28500,28656.10435,41763.0,12.0,1,0,92.8669886,0,13,21.901856,0.0,130838.7031,1.3685823420252377,0,0,0,0,0,0,0,1,1,1
19000,52157.0,157459.0,19.0,0,0,248.7235332,0,28,21.92019846,0.0,237940.364,0.4519081157634685,0,0,0,1,0,0,1,0,0,1
15900,101412.0,119751.0,9.0,0,0,299.953098,2,18,30.1768704,0.0,336058.7054,0.9796327379312072,0,0,0,0,0,0,1,0,1,1
18000,97523.0,130166.0,5.0,0,0,247.9728235,3,42,40.59168739,0.0,240253.624,0.8875051856859703,0,1,0,0,0,0,1,0,0,1
25200,74038.0,114722.0,9.0,0,1,304.0041559,1,28,31.36072725,0.035714286,236085.0863,0.8650302470319555,0,1,0,0,0,0,1,0,0,1
14700,51829.0,69136.0,14.0,0,0,169.9853078,0,18,35.63539385,0.0,145442.4784,0.9622917148808148,0,0,0,0,0,0,0,1,1,1
40900,149281.0,202877.0,4.0,0,0,156.783069,0,30,34.41651981,0.0,433748.0977,0.9374202102751914,1,0,0,1,0,0,1,0,0,0
2300,102370.0,120953.0,2.0,0,0,90.99253347,0,13,31.58850318,0.0,324073.6018,0.8653774606665399,1,0,1,0,0,0,1,0,0,0
13700,58788.0,87260.0,14.0,0,0,103.6928184,0,24,36.66531854,0.0,160336.8042,0.830712812285125,0,0,1,0,0,0,1,0,0,1
10600,62909.0,81411.0,15.0,0,0,238.3144708,1,35,34.68038165,0.0,181396.5043,0.9029369495522718,1,0,0,0,0,0,1,0,1,0
6000,43000.0,57460.0,1.6,1,0,101.5,0,13,35.24522428,0.0,122002.3446,0.8527671423599026,1,0,0,0,0,0,0,1,1,0
11500,116430.0,215014.0,3.0,0,0,132.0936343,0,14,26.86456847,0.0,433396.1297,0.5949845126363865,1,0,0,1,0,0,1,0,0,0
10100,54873.0,73085.0,5.0,0,1,252.2528926,1,16,38.7274173,0.0625,141690.3161,0.8890059519737292,1,0,0,0,0,0,0,1,1,0
19100,105111.0,176829.0,6.0,0,0,211.4003375,4,24,41.41312385,0.0,253810.846,0.702435686454145,0,0,1,0,0,0,1,0,0,1
20800,29503.0,54923.0,8.0,0,0,215.4807143,0,12,38.73213217,0.0,76171.89746,0.9158822351291808,0,0,0,0,0,0,0,1,1,1
12500,17659.0,31843.0,7.0,0,1,107.7410948,0,16,19.30085445,0.0625,91493.35875,0.9471155355965204,0,0,1,0,0,0,0,1,0,1
19500,88909.0,140092.0,13.0,0,0,163.5625044,1,25,33.00501666,0.0,269380.2609,0.7738414756017474,0,1,0,0,0,0,1,0,0,1
30000,48000.0,97000.0,3.0,0,0,173.5,2,25,36.17090549,0.0,132703.3409,0.8041237113402062,0,0,1,0,0,0,0,1,0,1
16900,31143.0,75125.0,8.0,1,0,237.1790454,0,49,42.13228057,0.0,73917.19504,0.6395074875207987,1,0,0,0,0,0,0,1,1,0
27100,24494.0,77479.0,8.0,1,1,101.3129167,1,26,31.12455386,0.038461538,78696.71036,0.6659094722440919,0,0,0,0,0,0,0,1,1,1
76500,38206.0,90000.0,12.0,0,0,134.9,0,26,35.24522428,0.0,108400.5018,1.2745111111111112,0,0,0,0,0,0,0,1,1,1
28900,29515.0,49525.0,36.0,0,0,288.6562467,0,24,39.60580772,0.0,74521.89893,1.1795053003533569,0,0,0,0,0,0,0,1,1,1
42000,21314.0,68047.0,21.0,0,0,209.8976942,1,30,39.94638535,0.0,53356.51727,0.9304451335106616,0,0,0,0,0,0,0,1,1,1
33000,18026.0,57436.0,0.0,0,0,94.11896805,0,5,37.74993373,0.0,47751.0772,0.888397520718713,0,0,0,0,0,0,0,1,1,1
10600,81151.0,200459.0,14.0,0,0,9.53414271,0,7,21.22321399,0.0,382369.0419,0.4577045680164023,1,0,0,0,0,1,1,0,0,0
8000,28000.0,41950.0,2.0,0,0,103.4,1,20,36.17090549,0.0,77410.28217,0.8581644815256257,0,0,1,0,0,0,0,1,0,1
6300,45582.0,89005.0,2.0,0,0,209.3580469,4,30,29.59595551,0.0,154014.2875,0.5829110724116623,0,0,0,0,0,0,1,0,1,1
10500,69656.0,88198.0,15.0,0,0,97.31940617,0,8,27.32239655,0.0,254941.033,0.9088187940769632,0,0,1,0,0,0,1,0,0,1
16100,47198.0,79384.0,1.0,0,1,297.4825046,1,9,36.73611367,0.111111111,128478.4788,0.7973647082535523,0,0,0,0,0,0,0,1,1,1
10400,45710.0,55299.0,0.0,0,0,166.3741502,0,20,34.53641174,0.0,132353.0665,1.014665726324165,0,0,1,0,0,0,0,1,0,1
13000,96172.0,112123.0,14.0,0,0,181.8918044,1,18,36.22557157,0.0,265480.9734,0.9736806899565656,0,0,0,1,0,0,1,0,0,1
16100,61712.0,82649.0,12.0,0,0,94.6451236,0,9,27.5488312,0.0,224009.5035,0.9414753959515542,0,0,0,0,0,0,1,0,1,1
23600,82407.0,106431.0,8.0,0,0,169.8052711,0,24,39.48884444,0.0,208684.2529,0.9960161982880928,0,0,0,0,0,0,1,0,1,1
11900,56792.0,64130.0,13.0,0,0,118.6125902,1,18,32.6657463,0.0,173857.9596,1.071136753469515,0,1,0,0,0,0,1,0,0,1
40600,362909.0,466731.0,4.0,0,0,305.8124192,4,14,42.93033947,0.0,845343.8861,0.8645429594348779,1,0,0,1,0,0,1,0,0,0
60000,86573.0,159920.0,7.0,0,5,332.7333333,3,22,33.37804123,0.227272727,259371.1219,0.91653951975988,0,0,0,1,0,0,1,0,0,1
6900,49000.0,68280.0,1.0,0,0,61.9,8,22,35.24522428,0.0,139025.9276,0.8186877562975982,0,0,0,0,0,0,0,1,1,1
30500,57516.0,103086.0,3.0,0,0,166.1995272,2,24,37.81408909,0.0,152102.0376,0.8538113807888559,0,0,1,0,0,0,1,0,0,1
12100,83557.0,98881.0,6.0,0,0,102.2257045,1,26,25.78278709,0.0,324080.557,0.9673951517480608,1,0,0,1,0,0,1,0,0,0
16500,92900.0,116000.0,10.0,1,0,83.16666667,1,27,35.63137756,0.0,260725.255,0.943103448275862,0,1,0,0,0,0,1,0,0,1
22100,86148.0,141472.0,11.0,0,0,89.16146609,2,14,40.67729771,0.0,211783.9799,0.7651549423207419,0,0,0,0,0,0,1,0,1,1
16300,67524.0,85577.0,8.0,0,0,75.43432799,3,11,31.76182878,0.0,212594.8114,0.9795155240309896,0,0,0,0,0,0,1,0,1,1
17900,110332.0,130756.0,2.0,0,1,288.6555842,1,47,41.9463752,0.021276596,263031.0712,0.9806968705068984,0,0,0,0,0,0,1,0,1,1
25800,35837.84963,51824.0,8.0,0,0,89.59981508,0,12,28.54647846,0.0,125542.1038,1.189368818115159,0,0,0,0,0,0,0,1,1,1
11500,29281.0,37717.0,15.0,0,0,61.91544466,0,9,30.70242855,0.0,95370.30582,1.0812365776705464,1,1,0,0,0,0,0,1,0,0
16000,140979.0,181166.0,9.0,0,0,236.7071183,0,21,27.84133988,0.0,506365.7159,0.8664926089884415,0,1,0,0,0,0,1,0,0,1
41800,5143.0,67205.0,6.0,0,0,317.924784,0,18,14.85334107,0.0,34625.20639,0.6985045755524143,1,0,1,0,0,0,0,1,0,0
11400,50166.0,61395.0,1.0,0,0,188.8866824,1,12,26.95045128,0.0,186141.5954,1.0027852430979722,0,0,0,0,0,0,1,0,1,1
18000,23252.0,50750.0,16.0,0,0,180.6,1,20,33.37804123,0.0,69662.566,0.8128472906403941,0,0,0,1,0,0,0,1,0,1
10500,76729.0,102287.0,5.0,0,0,89.06269877,1,33,38.44765886,0.0,199567.4178,0.852786766646788,1,0,0,1,0,0,1,0,0,0
18600,96476.0,119780.0,0.0,0,2,264.1531247,0,29,40.80574336,0.068965517,236427.5027,0.9607280013357824,0,0,1,0,0,0,1,0,0,1
11000,102000.0,120000.0,3.0,0,0,125.8,1,26,34.87164312,0.0,292501.2729,0.9416666666666668,0,0,0,0,0,0,1,0,1,1
11000,49000.0,68000.0,2.0,2,3,9.1,3,15,35.24522428,0.2,139025.9276,0.8823529411764706,1,0,0,0,0,0,0,1,1,0
10000,80000.0,107900.0,12.0,0,2,176.5333333,0,28,33.37804123,0.071428571,239678.5343,0.8341056533827618,1,0,0,1,0,0,1,0,0,0
22300,65022.0,104766.0,8.0,0,0,117.1618153,2,18,38.34866301,0.0,169554.803,0.8334955997174656,0,0,1,0,0,0,1,0,0,1
39000,3372.0,41500.0,4.3,0,0,326.6666667,6,15,33.37804123,0.0,10102.45022,1.0210120481927711,1,0,0,1,0,0,0,1,0,0
18200,39109.0,62371.0,25.0,0,0,268.1982607,0,13,24.74818104,0.0,158027.7756,0.9188404867646824,1,0,0,0,0,0,1,0,1,0
9300,53772.0,71497.0,2.0,0,2,136.0800299,0,23,29.68667084,0.086956522,181131.7958,0.8821628879533407,1,1,0,0,0,0,1,0,0,0
12000,48786.0,89800.0,29.9,0,5,220.1333333,1,16,33.37804123,0.3125,146161.9622,0.6769042316258352,1,0,0,1,0,0,0,1,0,0
20000,151982.0,188863.7137,6.0,2,5,146.5,1,43,34.83019399,0.11627907,436351.2877,0.91061430822643,0,0,0,0,0,1,1,0,0,1
6000,53227.0,68700.0,3.0,0,2,122.7333333,0,23,35.63137756,0.086956522,149382.3805,0.8621106259097525,1,1,0,0,0,0,0,1,0,0
12700,48139.0,64842.0,0.0,1,0,192.4791522,2,13,26.54684008,0.0,181336.0831,0.9382653218592888,0,0,0,0,0,0,1,0,1,1
13300,86360.0,116111.0,8.0,0,0,232.2921386,0,24,32.01270136,0.0,269767.9244,0.8583166108292927,1,1,0,0,0,0,1,0,0,0
27800,181405.0,229116.0,0.0,0,0,297.9981443,0,32,43.52042818,0.0,416827.2409,0.913096422772744,0,0,0,1,0,0,1,0,0,1
24400,95843.0,123377.0,2.0,0,0,201.9767562,1,26,32.90346813,0.0,291285.4038,0.9745981828055472,0,0,0,0,0,1,1,0,0,1
11900,89595.0,107895.0,9.0,0,0,250.4682419,0,24,30.30538811,0.0,295640.4969,0.9406830715047036,1,1,0,0,0,0,1,0,0,0
30200,36000.0,73500.0,14.0,0,1,202.9666667,0,33,36.17090549,0.03030303,99527.50565,0.9006802721088435,0,0,1,0,0,0,0,1,0,1
10000,127319.0,194992.0,1.0,0,1,337.6899717,0,16,41.44750595,0.0625,307181.3299,0.7042288914417002,1,0,1,0,0,0,1,0,0,0
18500,99474.0,127470.0,22.0,0,0,287.0022563,3,16,30.99602763,0.0,320924.9946,0.9255040401663136,0,0,1,0,0,0,1,0,0,1
12600,55415.0,74307.0,29.0,1,2,198.8467209,0,23,36.83774105,0.086956522,150429.9624,0.915324262855451,1,0,0,0,0,0,1,0,1,0
2000,45000.0,55000.0,3.0,0,0,86.06666667,2,25,35.24522428,0.0,127676.8723,0.8545454545454545,1,0,0,0,0,0,0,1,1,0
18000,63508.0,94991.0,1.0,0,0,155.8847243,0,25,23.58566428,0.0,269265.259,0.8580602372856376,0,0,1,0,0,0,1,0,0,1
3000,22400.89772,33000.0,1.0,0,1,23.3,1,2,35.24522428,0.5,63557.25684,0.7697241733333333,1,0,0,0,0,0,0,1,1,0
16200,71530.0,88569.0,14.0,0,0,179.7461144,0,1,35.88671015,0.0,199321.6979,0.9905271596156668,0,1,0,0,0,0,1,0,0,1
20100,38614.0,56295.0,3.0,1,0,132.6165215,0,11,25.7926535,0.0,149709.2961,1.0429700683897327,1,0,0,0,0,1,0,1,0,0
17500,110603.0,142000.0,1.0,1,0,163.0666667,3,25,35.24522428,0.0,313809.8913,0.9021338028169014,0,0,0,0,0,0,1,0,1,1
15900,71841.0,96424.0,10.0,0,0,111.4372511,0,11,36.95496961,0.0,194401.4587,0.909949805027794,1,0,1,0,0,0,1,0,0,0
10600,47701.0,66500.0,10.0,0,0,103.0142897,0,23,37.3100061,0.0,127850.4213,0.8767067669172932,0,0,0,0,0,0,0,1,1,1
18200,93702.0,158647.0,4.0,0,1,96.17779327,0,16,34.70993598,0.0625,269957.2827,0.7053521339829937,1,0,0,1,0,0,1,0,0,0
10500,55267.0,65160.0,1.0,0,0,108.2754232,8,22,47.07928537,0.0,117391.3316,1.009315531000614,0,0,0,0,0,0,0,1,1,1
26800,149729.0,183027.0,7.0,0,0,331.2565571,0,34,37.00088322,0.0,404663.3133,0.9644970414201184,0,0,0,1,0,0,1,0,0,1
10300,57902.0,74355.0,4.0,0,0,243.6309162,1,16,36.57444189,0.0,158312.737,0.9172483356869074,1,0,0,0,0,0,1,0,1,0
22900,136032.0,180899.0,21.0,0,0,240.3474711,0,24,41.59674747,0.0,327025.5687,0.8785675984941874,0,0,0,1,0,0,1,0,0,1
27300,53223.0,86696.0,0.0,0,0,96.07068788,0,22,34.51779051,0.0,154190.0545,0.9287971763403156,0,0,1,0,0,0,1,0,0,1
11200,114000.0,139200.0,5.0,0,0,213.5666667,1,36,35.63137756,0.0,319942.7241,0.8994252873563219,0,1,0,0,0,0,1,0,0,1
27400,100951.0,149305.0,21.0,0,0,194.5330279,0,13,41.64417205,0.0,242413.2719,0.8596564080238438,0,1,0,0,0,0,1,0,0,1
8900,75441.0,116950.0,26.0,0,0,322.7311957,2,37,33.78852367,0.0,223274.0345,0.721171440786661,1,0,1,0,0,0,1,0,0,0
16800,62557.0,95747.0,0.0,0,0,188.189005,1,31,35.28584474,0.0,177286.3891,0.8288197019227757,0,0,0,0,0,0,1,0,1,1
13600,13202.0,50848.0,3.0,0,0,302.2019151,0,16,16.77857669,0.0,78683.67051,0.5271003775959723,0,0,0,1,0,0,0,1,0,1
14200,83231.0,99400.0,6.0,0,0,130.1675148,1,26,27.17296471,0.0,306300.7695,0.9801911468812876,1,0,0,1,0,0,1,0,0,0
12700,79383.0,107590.0,5.0,0,0,78.29927353,2,14,33.5811165,0.0,236391.7828,0.8558695046007994,0,0,0,0,0,0,1,0,1,1
44900,95410.0,157649.0,16.0,0,1,216.1010462,4,31,40.48351525,0.032258065,235676.1744,0.8900151602610863,0,0,0,0,0,0,1,0,1,1
14900,54359.0,78408.0,4.0,3,0,129.9677556,0,24,3.016141451,0.0,1802269.584,0.8833154780124477,0,0,0,0,0,1,1,0,0,1
17300,79412.0,114906.0,17.0,0,0,247.3605705,4,30,36.53643556,0.0,217350.1568,0.8416618801455102,0,1,0,0,0,0,1,0,0,1
12900,50636.0,57838.0,0.0,1,0,187.8253233,1,13,28.81347094,0.0,175737.2449,1.098516546215291,0,0,0,0,0,0,1,0,1,1
26600,94954.0,131913.0,0.0,1,0,187.1408236,2,37,35.27011322,0.0,269219.4363,0.9214709695026267,0,0,0,1,0,0,1,0,0,1
14600,16535.0,46993.0,24.0,0,0,260.8915332,0,20,28.1898371,0.0,58655.89057,0.6625454854978401,1,0,1,0,0,0,0,1,0,0
13900,80836.0,93912.0,5.0,2,0,69.26840914,0,20,23.91634661,0.0,337994.7671,1.0087741715648693,0,0,0,0,0,0,1,0,1,1
36000,124000.0,176000.0,21.0,0,0,257.7,5,35,35.24522428,0.0,351820.7148,0.9090909090909092,0,0,0,0,0,0,1,0,1,1
20100,84965.0,110676.0,18.0,0,0,244.02973,5,30,38.62783022,0.0,219957.9928,0.9493024684665148,0,1,0,0,0,0,1,0,0,1
28000,58002.0,86427.0,9.0,0,1,129.575352,2,29,39.36269322,0.034482759,147352.7222,0.9950825552200122,0,0,0,0,0,0,0,1,1,1
18000,62000.0,160800.0,15.0,0,0,129.8333333,1,11,33.37804123,0.0,185750.8641,0.4975124378109453,1,0,0,1,0,0,1,0,0,0
18600,47199.0,70134.0,8.0,0,0,86.55886014,3,15,43.50793855,0.0,108483.6505,0.9381897510479938,0,0,0,0,0,0,0,1,1,1
15000,65584.0,92582.0,10.0,0,0,82.94897322,2,10,34.3172408,0.0,191110.9357,0.8704067745350068,0,0,0,0,0,0,1,0,1,1
6700,48430.0,64358.0,0.0,1,0,108.3517475,0,13,38.89419475,0.0,124517.297,0.8566145622921781,1,0,0,0,0,0,0,1,1,0
21000,133430.0,189263.0,22.0,0,0,229.986998,1,23,40.56412158,0.0,328936.0026,0.8159545183157828,0,0,0,1,0,0,1,0,0,1
16000,69861.0,87086.0,7.0,0,0,205.3280458,2,18,43.43633435,0.0,160835.3952,0.9859334451002456,0,0,0,0,0,0,1,0,1,1
14200,102789.0,123691.0,3.0,0,0,127.0600081,1,26,31.33876448,0.0,327993.1475,0.9458165913445602,0,0,0,0,0,0,1,0,1,1
